time;x;y;z;MF
0,005;-44,25;-4,75;-66,50;80,02
0,048;-44,25;-4,75;-66,50;80,02
0,109;-43,75;-5,75;-66,75;80,02
0,170;-43,50;-6,00;-66,25;79,48
0,205;-43,50;-6,00;-66,25;79,48
0,261;-44,00;-5,50;-66,50;79,93
0,305;-43,75;-5,00;-66,25;79,55
0,351;-43,75;-5,25;-66,50;79,77
0,401;-44,50;-5,25;-66,25;79,98
0,450;-44,50;-5,50;-66,00;79,79
0,502;-44,00;-5,50;-66,00;79,51
0,552;-43,50;-4,75;-66,00;79,19
0,601;-44,00;-5,00;-66,00;79,48
0,651;-44,25;-5,25;-66,00;79,63
0,703;-44,25;-5,00;-66,00;79,62
0,753;-44,00;-5,75;-66,00;79,53
0,803;-44,50;-5,50;-66,00;79,79
0,852;-43,75;-5,25;-67,00;80,19
0,904;-43,50;-5,00;-66,75;79,83
0,954;-43,75;-5,25;-66,75;79,98
1,004;-43,75;-5,75;-66,00;79,39
1,053;-44,25;-6,00;-66,25;79,89
1,108;-44,00;-5,50;-66,50;79,93
1,157;-44,00;-5,50;-66,50;79,93
1,207;-43,50;-5,25;-66,00;79,22
1,256;-43,00;-4,50;-66,25;79,11
1,309;-43,00;-4,50;-66,25;79,11
1,407;-43,00;-4,50;-66,25;79,11
1,456;-43,00;-4,50;-66,25;79,11
1,508;-43,00;-4,50;-66,25;79,11
1,557;-43,00;-4,50;-66,25;79,11
1,610;-43,00;-4,50;-66,25;79,11
1,708;-44,00;-5,25;-66,75;80,12
1,758;-43,75;-5,25;-66,50;79,77
1,809;-43,50;-4,50;-66,00;79,17
1,909;-44,00;-5,00;-67,00;80,31
1,959;-44,00;-5,25;-66,75;80,12
2,014;-44,25;-5,00;-67,00;80,45
2,060;-44,00;-5,00;-66,75;80,10
2,111;-44,00;-5,00;-66,75;80,10
2,160;-44,00;-5,00;-66,75;80,10
2,211;-44,00;-5,00;-66,75;80,10
2,311;-44,00;-5,00;-66,75;80,10
2,360;-44,00;-5,00;-66,75;80,10
2,411;-44,00;-5,00;-66,75;80,10
2,459;-44,00;-5,00;-66,75;80,10
2,512;-44,00;-5,00;-66,75;80,10
2,611;-44,00;-5,00;-66,75;80,10
2,662;-44,00;-5,00;-66,75;80,10
2,713;-44,00;-5,00;-66,75;80,10
2,812;-44,00;-5,00;-66,75;80,10
2,862;-44,00;-5,00;-66,75;80,10
2,914;-44,00;-5,00;-66,75;80,10
3,011;-44,00;-5,00;-66,75;80,10
3,062;-44,00;-5,00;-66,75;80,10
3,115;-44,00;-5,00;-66,75;80,10
3,213;-44,00;-5,00;-66,75;80,10
3,264;-44,00;-5,00;-66,75;80,10
3,318;-44,00;-5,00;-66,75;80,10
3,415;-44,00;-5,00;-66,75;80,10
3,466;-44,00;-5,00;-66,75;80,10
3,517;-44,00;-5,00;-66,75;80,10
3,616;-44,00;-5,00;-66,75;80,10
3,667;-44,00;-5,00;-66,75;80,10
3,717;-44,00;-5,00;-66,75;80,10
3,767;-44,00;-5,00;-66,75;80,10
3,816;-44,00;-5,00;-66,75;80,10
3,867;-44,00;-5,00;-66,75;80,10
3,917;-44,00;-5,00;-66,75;80,10
3,966;-44,00;-5,00;-66,75;80,10
4,018;-44,00;-5,00;-66,75;80,10
4,066;-44,00;-5,00;-66,75;80,10
4,118;-44,00;-5,00;-66,75;80,10
4,216;-44,00;-5,00;-66,75;80,10
4,267;-44,00;-5,00;-66,75;80,10
4,318;-44,00;-5,00;-66,75;80,10
4,417;-44,75;-5,75;-66,75;80,57
4,472;-43,75;-5,25;-66,25;79,57
4,523;-43,75;-5,25;-66,00;79,36
4,618;-44,75;-5,25;-66,00;79,91
4,667;-44,50;-5,25;-65,75;79,57
4,718;-44,00;-4,75;-65,50;79,05
4,767;-44,25;-4,75;-65,75;79,40
4,818;-44,00;-5,25;-66,00;79,50
4,868;-44,25;-5,75;-66,25;79,88
4,919;-44,00;-5,00;-65,75;79,27
5,020;-44,25;-5,00;-66,00;79,62
5,070;-44,00;-4,50;-66,00;79,45
5,122;-44,50;-4,75;-66,25;79,95
5,220;-44,25;-5,00;-65,75;79,41
5,271;-44,25;-5,25;-65,25;79,01
5,321;-44,25;-5,50;-65,75;79,44
5,371;-43,75;-5,00;-66,00;79,34
5,422;-43,75;-5,00;-66,00;79,34
5,472;-43,75;-5,00;-66,00;79,34
5,529;-43,75;-5,00;-66,00;79,34
5,575;-43,75;-5,00;-66,00;79,34
5,632;-43,75;-5,00;-66,00;79,34
5,729;-43,75;-5,00;-66,00;79,34
5,779;-43,75;-5,00;-66,00;79,34
5,839;-43,75;-5,00;-66,00;79,34
5,935;-43,75;-5,00;-66,00;79,34
5,983;-43,75;-5,00;-66,00;79,34
6,034;-43,75;-5,00;-66,00;79,34
6,084;-44,50;-6,25;-66,50;80,26
6,135;-44,25;-6,00;-66,50;80,10
6,233;-44,25;-5,75;-66,25;79,88
6,284;-44,25;-5,25;-66,00;79,63
6,336;-44,00;-5,25;-65,75;79,29
6,386;-44,00;-5,75;-66,00;79,53
6,435;-44,00;-5,25;-66,00;79,50
6,485;-44,25;-5,00;-66,00;79,62
6,537;-44,25;-5,00;-66,00;79,62
6,586;-44,25;-5,00;-66,00;79,62
6,635;-44,25;-5,00;-66,00;79,62
6,685;-44,25;-5,00;-66,00;79,62
6,737;-44,25;-5,00;-66,00;79,62
6,785;-44,25;-5,00;-66,00;79,62
6,835;-44,25;-5,00;-66,00;79,62
6,885;-44,25;-5,00;-66,00;79,62
6,937;-44,25;-5,00;-66,00;79,62
6,985;-44,25;-5,00;-66,00;79,62
7,035;-44,25;-5,00;-66,00;79,62
7,086;-44,25;-5,00;-66,00;79,62
7,138;-44,25;-5,75;-66,00;79,67
7,236;-43,25;-5,25;-66,50;79,50
7,287;-43,25;-5,25;-66,25;79,29
7,338;-43,50;-5,25;-66,00;79,22
7,437;-43,25;-4,50;-66,75;79,66
7,487;-43,50;-4,50;-66,25;79,38
7,537;-44,25;-4,75;-66,00;79,60
7,586;-44,00;-6,00;-66,00;79,55
7,637;-43,50;-5,75;-66,00;79,25
7,687;-43,25;-5,50;-66,00;79,10
