
time;gfx;gFy;gFz;Bx;By;Bz;
0,0150;-0,0059;-0,0840;0,9850;13,7500;-0,2500;35,2500;
0,0160;-0,0059;-0,0840;0,9850;13,7500;-0,2500;35,2500;
0,0170;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0250;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0270;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0440;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0450;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0700;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0760;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0790;-0,0059;-0,0840;0,9850;12,7500;-0,5000;35,0000;
0,0880;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,0890;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,0950;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,0990;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1130;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1190;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1310;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1460;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1500;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1630;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1690;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1800;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,1960;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,2010;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,2130;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,2230;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,2290;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,2400;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,2500;0,0078;-0,1016;0,9909;12,7500;-0,5000;35,0000;
0,2560;0,0078;-0,1016;0,9909;13,5000;-0,2500;34,5000;
0,2610;0,0078;-0,1016;0,9909;13,5000;-0,2500;34,5000;
0,2690;0,0078;-0,1016;0,9909;13,5000;-0,2500;34,5000;
0,2800;0,0078;-0,1016;0,9909;13,5000;-0,2500;34,5000;
0,2880;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,2900;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,2920;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,2990;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3090;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3190;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3300;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3390;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3490;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3600;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3690;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3790;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3900;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,3990;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,4120;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,4190;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,4300;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,4390;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,4490;0,0078;-0,1055;0,9890;13,5000;-0,2500;34,5000;
0,4550;0,0078;-0,1055;0,9890;12,7500;1,0000;35,5000;
0,4840;0,0078;-0,1055;0,9890;12,7500;1,0000;35,5000;
0,4850;0,0078;-0,1055;0,9890;12,7500;1,0000;35,5000;
0,4880;0,0078;-0,1055;0,9890;12,7500;1,0000;35,5000;
0,4890;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,4900;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,4910;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,4990;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5100;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5190;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5290;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5390;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5490;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5600;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5690;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5790;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5890;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,5990;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,6100;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,6190;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,6290;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,6390;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,6500;0,0078;-0,0938;0,9890;12,7500;1,0000;35,5000;
0,6560;0,0078;-0,0938;0,9890;13,5000;-0,5000;35,5000;
0,6590;0,0078;-0,0938;0,9890;13,5000;-0,5000;35,5000;
0,6690;0,0078;-0,0938;0,9890;13,5000;-0,5000;35,5000;
0,6790;0,0078;-0,0938;0,9890;13,5000;-0,5000;35,5000;
0,6880;0,0059;-0,1075;0,9890;13,5000;-0,5000;35,5000;
